Title,Description,Original Price,Sales Price,Rating,Deal URL,Original URL,Image URL,Category,Tags
Pflueger President Spinning Combo,53% OFF Pflueger President Spinning Combo with Bait Pack! (was $170 now $100),170,100,5,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fp%2F04338848135%2F%3FqueryID%3D74e7308e5bc089d93f63b05ff978d9b6&ctc=honeyhole,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fp%2F04338848135%2F%3FqueryID%3D74e7308e5bc089d93f63b05ff978d9b6&ctc=honeyhole,https://scheels.scene7.com/is/image/Scheels/04338848135?wid=500&hei=500,fishing-gear,better
Garmin ECHOMAP,"$850 OFF Garmin ECHOMAP UHD2 93sv LiveScope Bundle Fish Finder! (was $2,850 now $2,000)",2850,2000,3,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fp%2F75375932273%2F%3FqueryID%3D1943127fb5e5afba4f55ea2c5352196e&ctc=honeyhole,https://www.avantlink.com/click.php?tt=el&merchant_id=e21b2ad7-382e-4db9-b77e-22f8b11c5c01&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.scheels.com%2Fp%2F75375932273%2F%3FqueryID%3D1943127fb5e5afba4f55ea2c5352196e&ctc=honeyhole,https://scheels.scene7.com/is/image/Scheels/75375932273_5?wid=500&hei=500,fishing-gear,best
Sport Dog Field Sentinel 1825 Dog Training Collar,$100 OFF Sport Dog FIeld Sentinel 1825 Dog Training Collar (was $550 now $450),550,450,4,https://cabelas.xhuc.net/bOkN79,https://cabelas.xhuc.net/bOkN79,https://assets.basspro.com/image/upload/c_limit,fishing-gear,good
Cabela's Outfitter Series Wooltimate Pants,30% OFF Cabela's Outfitter Series Wooltimate Pants—WARM even in the WIND! (was $140 now $98),140,98,4,https://bassproshops.vzck.net/dORRDM,https://bassproshops.vzck.net/dORRDM,https://assets.basspro.com/image/upload/c_limit,fishing-gear,good
Bass Pro Shops Modular Tackle Storage System,47% OFF Bass Pro Shops Modular Tackle Storage System! (was $150 now $80),150,80,3,https://bassproshops.vzck.net/BnxE44,https://bassproshops.vzck.net/BnxE44,https://assets.basspro.com/image/upload/c_limit,fishing-gear,good
Team Lew's Custom Pro Speed Spool SLP Baitcast Reel,$100 OFF Team Lew's Custom Pro Speed Spool SLP Baitcast Reel! (was $280 now $180),280,180,3,https://bassproshops.vzck.net/YR1D6q,https://bassproshops.vzck.net/YR1D6q,https://assets.basspro.com/image/upload/c_limit,fishing-gear,good
Rapala Soft Grip Fillet Knife with Sharpener,64% OFF Rapala Soft Grip Fillet Knife with Sharpener! (was $23 now $8),23,8,5,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Frapala-soft-grip-fillet-knife-with-sharpener.html&ctc=honeyhole,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Frapala-soft-grip-fillet-knife-with-sharpener.html&ctc=honeyhole,https://www.campsaver.com/i/440-440-ffffff/opplanet-rapala-soft-grip-fillet-knife-with-sharpener-6in-055772-m.webp,fishing-gear,best
Vortex Diamondback 10x42mm Binoculars,53% OFF Vortex Diamondback 10x42mm Binoculars—Best price we could find! (was $279 now $130),279,130,5,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fvortex-diamondback-10x42mm-binocular.html&ctc=honeyhole,https://www.avantlink.com/click.php?tt=el&merchant_id=358fd954-c6b8-44a1-9ca9-aaad445d2dfb&website_id=c3571a18-8c5f-4fa4-bbfc-646887262f95&url=https%3A%2F%2Fwww.campsaver.com%2Fvortex-diamondback-10x42mm-binocular.html&ctc=honeyhole,https://www.campsaver.com/i/440-440-ffffff/opplanet-vortex-diamondback-10x42mm-binocular-d241-vx-bi-d241-main.webp,hunting-gear,best
Smith Guide's Choice Sunglasses,40% OFF Smith Guide's Choice Sunglasses—Our top pick when we reviewed all of Smith's fishing sunglasses! (was $215 now $129),215,129,4,https://smithoptics.pxf.io/raGM1G,https://smithoptics.pxf.io/raGM1G,https://www.smithoptics.com/on/demandware.static/-/Library-Sites-SmithSharedLibrary/default/dw6fe2ed33/images/homepage/Tiles/2025%20Tiles/hp-tile-best-sellers.jpg,fishing-gear,better
Anker SOLIX C1000 Portable Power Station,50% OFF Anker SOLIX C1000 Portable Power Station—Click coupon for full discount! (was $999 now $499),999,499,5,https://www.amazon.com/gp/aw/d/B0C5C89QKZ?th=1&linkCode=ll1&tag=honeyhole-page-20&linkId=2bed458deacb79bec2313404c8eaf279&language=en_US&ref_=as_li_ss_tl,https://www.amazon.com/gp/aw/d/B0C5C89QKZ?th=1&linkCode=ll1&tag=honeyhole-page-20&linkId=2bed458deacb79bec2313404c8eaf279&language=en_US&ref_=as_li_ss_tl,https://www.amazon.com/gp/aw/d/B0C5C89QKZ/?th=1,camping-hiking-and-outdoor-gear,best
